level_id,schoko,vanilla
2,11,11
4,12,14
5,24,24
8,36,38
10,13,17
13,23,23
16,24,22
25,12,12
35,12,12
49,13,13
50,19,19
55,40,38
60,15,17
61,11,11
62,11,11
63,17,19
66,11,11
67,9,9
68,7,7
69,21,21
70,13,13
71,18,20
74,18,22
75,18,18
76,16,24
78,13,13
80,21,21
81,16,16
82,14,18
83,14,8
84,10,10
85,20,22
86,16,20
88,24,24
89,16,16
90,10,10
91,8,8
92,6,6
93,12,14
95,14,12
97,12,12
98,24,28
99,20,22
100,8,8
